YearMonth,TransactionCount,AvgTransactionValue,TotalVolume,AvgProfitMargin,UniqueCustomers
2018-01,4684,2659.071538108444,10747007.543182531,96.35020877171962,983
2018-02,4762,2424.971447155201,13436794.755277844,97.82542984407307,1002
2018-03,4616,2746.63001281471,9879859.694210446,99.07767606881609,947
2018-04,4638,2021.0371133312847,12781514.298871383,99.11876202202899,998
2018-05,4570,2503.5490008787897,10220499.115826182,98.11555113589377,939
2018-06,4608,2734.738305138434,12237635.390303247,98.17970226599627,941
2018-07,4688,2504.8455174896126,13353929.796310686,97.91805260243682,952
2018-08,4497,2761.3468934725524,13023041.42750204,97.47821992132853,957
2018-09,4508,2556.251771238303,14003392.818751965,94.89030008413495,955
2018-10,4588,2966.3329360983653,12976160.496531045,98.97359225388132,947
2018-11,4434,2992.7320877127363,12738869.332831748,95.63206643485842,971
2018-12,4562,3073.875907771866,15387908.28461151,96.4140389557227,960
