YearMonth,TransactionCount,AvgTransactionValue,AvgProfitMargin,UniqueCustomers,TotalVolume
2019-01,3600,2562.2519432929103,98.07654134470175,800,9224106.995854476
2019-02,3607,2579.1638702404853,97.83676815524984,802,9303044.079957431
2019-03,4417,2775.860306731346,96.23860953457526,804,12260974.974832356
2019-04,4426,2463.899539193126,99.155438590657,807,10905219.360468777
2019-05,4435,2658.0135098566657,101.62750634349497,809,11788289.916214311
2019-06,4040,2437.9690813550956,95.58042301084775,812,9849395.088674586
2019-07,4048,2709.5920402114243,97.7465676229223,814,10968428.578775845
2019-08,4056,2598.844381142251,98.09835871540871,816,10540912.80991297
2019-09,4064,2270.86206334074,94.74934221570248,819,9228783.425416768
2019-10,4072,2848.6565710667314,99.63737588630782,821,11599729.557383731
2019-11,4080,2559.7822356706683,97.48143143186265,824,10443911.521536326
2019-12,3679,2525.751016632866,95.68617797337275,826,9292237.990192315
2020-01,3687,2504.3906892424943,101.30934764982969,829,9233688.471237076
2020-02,3694,2690.9901650040224,99.31260596031687,831,9940517.66952486
2020-03,4524,2810.305039637387,99.63886864583058,834,12713819.999319538
2020-04,4533,2665.4819938039477,98.50225794483629,836,12082629.877913294
2020-05,4542,2772.129035034081,96.55911003694436,839,12591010.077124795
2020-06,4138,2613.07684081191,98.97429718104149,841,10812911.967279684
2020-07,4146,2485.7215162982184,96.59879417276039,844,10305801.406572413
2020-08,4154,2515.4592679189545,98.5183558829637,846,10449217.798935337
2020-09,4163,2653.1368929031764,98.8899331809009,849,11045008.885155924
2020-10,4171,2597.331700633802,98.55769591125694,851,10833470.52334359
2020-11,4179,2410.291441264142,98.60164225271402,854,10072607.93304285
2020-12,3769,2508.827185827926,101.76135107229928,857,9455769.663385453
2021-01,3776,2671.1072611924233,98.66334874265334,859,10086101.01826259
2021-02,3784,2520.78681029811,101.18846381242972,862,9538657.290168049
2021-03,4634,2889.474852056257,98.66036794722642,864,13389826.464428695
2021-04,4643,2593.307379329406,94.70798217771218,867,12040726.162226433
2021-05,4653,2636.3737098766514,97.56273422800606,869,12267046.87205606
2021-06,4238,2897.486956166053,99.48783418791575,872,12279549.720231732
2021-07,4247,2792.2859398087376,95.7028846646382,875,11858838.386367708
2021-08,4255,2544.3738383865525,98.68535304457777,877,10826310.68233478
2021-09,4264,2560.920349888857,98.12228676804497,880,10919764.371926086
2021-10,4272,2413.8282191544004,100.47754826423304,883,10311874.1522276
2021-11,4281,2681.1421907431913,95.35399500745899,885,11477969.718571601
2021-12,3860,2711.959358879643,98.71101308995098,888,10468163.125275422
2022-01,3868,2747.5200133250455,98.10657367020035,891,10627407.411541276
2022-02,3876,2778.422480477091,99.3424503069526,893,10769165.534329206
2022-03,4747,2741.610550940464,98.71941106577734,896,13014425.285314381
2022-04,4756,2675.8539756321616,96.7444866685241,899,12726361.50810656
2022-05,4766,2531.5350716629328,97.91757111488891,901,12065296.151545538
2022-06,4341,2646.4602847130977,99.49598384399606,904,11488284.095939558
2022-07,4350,2860.1034706213513,97.4031523768171,907,12441450.097202878
2022-08,4358,2615.4892819416928,98.23157473326366,909,11398302.290701898
2022-09,4367,2723.52281508149,98.45409193381208,912,11893624.133460866
2022-10,4376,2684.309903533597,100.10121547872637,915,11746540.137863021
2022-11,4385,2661.895747507089,97.64262025361712,918,11672412.852818584
2022-12,3954,2466.240383026168,95.8758544905434,920,9751514.474485468
2023-01,3962,2629.9193087081085,98.44482387314845,923,10419740.301101526
2023-02,3970,2644.5638007413395,97.32343534768081,926,10498918.288943117
2023-03,4862,2744.3769938989117,96.25403241288619,929,13343160.94433651
2023-04,4871,2680.9541392129786,96.54619010508895,932,13058927.612106418
2023-05,4881,2691.133796263191,98.03661973490112,934,13135424.059560636
2023-06,4446,2778.5461283992327,99.12659758238047,937,12353416.086862989
2023-07,4455,2587.281009412963,99.67274071451645,940,11526336.896934751
2023-08,4464,2819.8588519423006,98.5296133462652,943,12587849.91507043
2023-09,4473,2683.0539094537744,98.71772907505438,946,12001300.136986732
2023-10,4482,2877.52449798382,96.37532884039447,948,12897064.79996348
2023-11,4491,2609.1190795465654,98.45730000679167,951,11717553.786243625
2023-12,4050,2896.9630383133385,97.24057782171974,954,11732700.305169022
2024-01,4058,2426.044580610689,98.5311334553918,957,9844888.908118177
2024-02,4066,2630.928980657004,99.51594265090306,960,10697357.235351378
2024-03,4980,2665.2503429471253,98.32232988778766,963,13272946.707876684
2024-04,4990,2914.9140912090147,96.64676126012156,966,14545421.315132983
2024-05,5000,2777.2665553277993,98.59575401827884,969,13886332.776638996
2024-06,4554,2941.227297260843,100.02388174032629,971,13394349.11172588
2024-07,4563,2457.229019436221,96.35257821965196,974,11212336.015687475
